N�;Nom;Nom 2;Zone de livraison;Code postal;Ville;1-GAMME OBLIGATOIRE;2-TYPE CLIENT;3-Sous Type Client
111035;KORIAN LA SOLANE;SODEXO FR402319;;66340;OSSEJA;NON;TRANS;GRPE REST
111036;KORIAN ROUGEMONT;SODEXO FR401836;ZONE PROV;72000;LE MANS;NON;TRANS;GRPE REST
111037;SANOFI MONTPELLIER SELF RESTO;COMPASS GROUP FRANCE G40701;ZONE PROV;34184;MONTPELLIER;OUI;TRANS;GRPE REST
111038;SANOFI VITRY R&D SELF;COMPASS GROUP FRANCE UR G24801;BLEU;94400;VITRY SUR SEINE;OUI;TRANS;GRPE REST
111039;SANOFI GENTILLY SELF RESTO;COMPASS GROUPE FRANCE UR G24701;BLEU;94255;GENTILLY;OUI;TRANS;GRPE REST
111041;GARE DE LYON LE TRAIN BLEU ;SSP PARIS;BLEU;13417;MARSEILLE;;TRANS;GRPE REST
111043;GRIKOS;RESTAURANT LE 39 V;ROSE;75008;PARIS 8EME ARRONDISSEMENT;;TRANS;REST
111045;SCOR KLEBER CLUB;ELIOR ENTREPRISE CDPF 144726;ROSE;75016;PARIS 16EME ARRONDISSEMENT;OUI;TRANS;REST
111046;EUTELSAT ANNEXES;ELIOR ENTREPRISE CDPF 161752;ROSE;92130;ISSY LES MOULINEAUX;OUI;TRANS;GRPE REST
111047;MALAKOFF HUMANIS CLUB;ELIOR ENTREPRISE CDPF 163231;ROSE;92240;MALAKOFF;OUI;TRANS;GRPE REST
111048;CESE CLUB;ELIOR ENTREPRISE CDPF 161380;ROSE;75016;PARIS 16EME ARRONDISSEMENT;OUI;TRANS;GRPE REST
111049;SCHNEIDER LE HIVE CLUB;ELIOR ENTREPRISE CDPF 143933;ROSE;92500;RUEIL MALMAISON;OUI;TRANS;GRPE REST
111050;CAPI CLUB;ELIOR ENTREPRISE CDPF 145064;BLEU;93400;ST OUEN;OUI;TRANS;GRPE REST
