Sku;Description;ReduxCoef
183;REGLISSE BATONS 500G;
301;SUCRE ENVELOPPE BLANC/ROUX PERRUCHE 2K5;
309;SUCRE CANNE ROUX PERRUCHE 750G;
319;SUCRE CRISTAL SAC 1 KG;
327;VERGEOISE BRUNE X 500G;
435;CANNEBERGES 1 KG;
442;EAU AROME DE FLEUR D'ORANGER 50CL;
445;TAHINI CREME DE SESAME KANATER 900G;
446;MELASSE DE GRENADE 410G;
454;EAU AROME DE ROSE 500ML;
455;MIEL TOUTES FLEURS 1KG;
488;MIEL DE CHATAIGNIER 250G;
492;MIEL DU BERRY TOUTES FLEURS 250G;
494;MIEL DE SOLOGNE TOU FLEUR 250G;
513;MIEL DE LAVANDE DE FRANCE 250G;
522;MIEL DE SAPIN DE FRANCE 250G;
524;MIEL DE THYM 250G;
541;MIEL DE CITRONNIER 250G;
590;CONFITURE DE LAIT AU BEURRE SALE 250G;
604;PANACHE CONFITURE ANCIENNE 80X28GR;
636;CERISE NOIRE DE FRANCE : PREPARATION DE FRUIT 300G;
666;CONFITURE D'ABRICOT 1KG;
668;CONFITURE DE FRAISE 1KG;
672;MARMELADE D'ORANGE AMERE 1KG;
849;FARINE DE POIS CHICHES 1KG;
852;FARINE TYPE 55 1KG;
853;FARINE TYPE 45 1KG;
854;FARINE BLE NOIR/SARRASIN 1 KG;
856;FARINE MAIS FIORETTO JAUNE 1KG;
857;MAIZENA PAQUET 700G;
863;LAIT CONCENTRE SUCRE 1KG;
877;GELATINE OR 200 BLOOM 500 FEUILLES 1 KG;
880;BAKING POWDER ANCEL 1 KG;
882;BOMBE A GRAISSE OURAGAN 500ML;
885;NAPPAGE MIROIR NEUTRE 1,5 KG;
911;COUVERTURE EXCELLENCE 55% 5KG;
912;COUVERTURE TANZANIE 75% PISTOLE 1KG;
918;COUVERTURE INAYA 65% 5KG;
919;COUVERTURE ALUNGA 41% 5KG;
925;COUVERTURE CHOCOLAT AMER 60% 5KG;
926;COUVERTURE FORCE NOIRE 50% 5KG;
940;PRALINE GRAINS NOISETTE 50%1KG;
950;CHOCOLAT RUBY RB1 2,5KG;
959;DROPS DE CHOCOLAT 1KG;
960;BEURRE DE CACAO MYCRYO SAUPOUDREUR 550G;
963;GRUE DE CACAO SEAU 1 KG;
964;"CACAO POUDRE ""PLEIN AROME"" 1KG";
965;DECOR CACAO 1 KG;
967;MICRO COPEAUX CHOCOLAT NOIR 1KG;
985;CARA CRAKINE 1KG;
1332;PATE D'AMANDE CRUE 52% 1KG;
1388;LEVURE PANIFICATION FRAICHE LOT DE 5 x 500G;
1389;AMANDE BLANCHIE BATONNETS 1 KG;
1392;PAPIER GUITARE X 100;
1395;ISOMALT 4KG;
1410;BICARBONATE SOUDE 1KG;
1414;ACIDE ASCORBIQUE 1KG;
1418;BLANC OEUF GALLIA SECHE 1KG;
1420;ACIDE CITRIQUE POUDRE 1KG;
1421;PECTINE 325 NH 95 1KG;
1426;AGAR AGAR POUDRE 1KG;
1430;PECTINE JAUNE 1KG;
1433;XANTHANE GOMME 1 KG;
1439;STAB 2000 GLACES 1KG;
1440;GLUCOSE DESHYDRATE 1KG;
1447;PECTINE NH NAPPAGE 1KG;
1451;GELATINE POISSONS POUDRE 1KG;
1452;(TRIMOLINE) SUCRE INVERTI 1KG;
1469;LECITHINE SOJA FLUIDE 1KG;
1470;LECITHINE SOJA POUDRE 1KG;
1552;PREPARATION PATE PISTACHE AROMATISEE & COLOREE 1KG;
1646;TRENDY ROND SUCRE PUR BEURRE 7CM X 96;
1648;TRENDY CARRE NEUTRE 7x7CM X 96;
