N¯;Description;Description de recherche;Stocks;QtÇ sur commande vente;QtÇ sur commande achat;Article de substitution;BloquÇ;PrÇ-commande;Vente bloquÇe;Achat bloquÇ;N¯ fournisseur;1-FAMILLE ;2-Ss Famille ;3-Ss Ss Famille ;4-Ss Ss Ss Famille;5-MARQUE;6-SEMMARIS;7-NUMERO UTI
000023;CARCADET PASSION FRAMBOISE BOITE 100G;;14,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;001137;BOIS CHAU;INFU;;;DAMM;CONSEPI;N
000027;TISANE DE NOEL BOITE 100G;NOEL 2024;17,;0,;0,;FAUX;FAUX;FAUX;FAUX;VRAI;001137;BOIS CHAU;INFU;;;DAMM;CONSEPI;N
000045;THE CEYLAN O.P. SUPERIEUR 500G;;5,;0,;5,;FAUX;FAUX;FAUX;FAUX;FAUX;001137;BOIS CHAU;THES;THES NOIR;;DAMM;CONSEPI;N
000047;COFFRET ASSORTIMENT DE NOEL 5x4 S. CRISTAL;NOEL 2024;25,;0,;0,;FAUX;FAUX;FAUX;FAUX;VRAI;001137;BOIS CHAU;ZCOFF;;;DAMM;CONSEPI;N
000057;CHRISTMAS TEA ROUGE BOITE 100G;NOEL 2024;33,;0,;0,;FAUX;FAUX;FAUX;FAUX;VRAI;001137;BOIS CHAU;THES;THES NOIR;;DAMM;CONSEPI;N
000066;COFFRET BOIS 48 S. SUREMBALLES;;4,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;001137;BOIS CHAU;ZCOFF;;;DAMM;CONSEPI;N
000080;THE VERT GUNPOWDER 25 S. CRISTAL;;29,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;001137;BOIS CHAU;THES;THES VERT;;DAMM;CONSEPI;N
000083;THE SOLEIL VERT 25 S. CRISTAL;;34,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;001137;BOIS CHAU;THES;THES VERT;;DAMM;CONSEPI;N
000084;THE VERT ORIENTAL 25 S. CRISTAL;;41,;0,;30,;FAUX;FAUX;FAUX;FAUX;FAUX;001137;BOIS CHAU;THES;THES VERT;;DAMM;CONSEPI;N
000086;THE VERT JASMIN 25 S. CRISTAL;;98,;6,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;001137;BOIS CHAU;THES;THES VERT;;DAMM;CONSEPI;N
