Sku,Description,ReduxCoef,
1734,MINI TRENDY ROND PUR BEURRE CHOCOLAT 4CM X96,,
1736,MINI TRENDY ROND NEUTRE 4CM X 240,,
1758,FEUILLE DE GENOISE CACAO 58X38X0.7CM  X6,,
1810,AMUSETTE FEUILLETEE DIAM 3,,
1842,TRENDY CARRE CHOCOLAT PUR BEURRE 7x7CM X 96,,
1850,MERINGUE DROPS NATURE 200G,,
1853,FINE COQUILLE SEPIA 6,,
1856,QUICHE FEUILLETTE NEUTRE 11CM X 42,,
1858,VOL AU VENT REPAS 9,,
1868,TRENDY ROND SUCRE PUR BEURRE 8CM X 96,,
1872,TARTE SABLEE BORD CANNELE 28CM X10,,
1900,PATES FRUITS PASTILLES ASS 5KG,,
1901,PATES FRUIT GDE TRAD N�1 4,,
1902,ORANGES LAMELLES POUDREES 1KG,,
1913,CITRONS LAMELLES POUDREES 1KG,,
1920,GINGEMBRE BATONNETS EGOUTTE 1KG,,
1970,FEUILLE DE FILO 500G,,
1971,PATE A KADAIF 500G,,
1982,FEUILLE DE BRICK X 10 FEUILLES 170G,,
1984,PATE A RAVIOLE 10X10 250G,,
1989,SAUCE TERIYAKI KIKKOMAN 25CL,,
1990,LAIT DE COCO 400G,,
1993,PETITS POIS SOUFFLE WASABI 180G,,
1997,SAUCE NEM/ROULEAU PRINTEM 70CL,,
2000,SAUCE NUOC-M�M 72CL,,
2002,NOUILLE SEC INSTANTANEES 400G,,
2003,WASABI PATE TUBE 43G,,
2005,SAUCE KIKKOMAN SALEE 1 L,,
2007,GALETTE RIZ 22CM 454G,,
2009,NORI SECHEEx 50 F x110G,,
2010,VERMICELLE RIZ EG 1MM 400G,,
2012,RIZ POUR SUSHI 1 KG,,
2013,SAUCE HUITRE PANDA 907G,,
2015,GINGEMBRE POUR SUSHI 1,,
2018,SAUCE PIMENT SWEET& SOUR 280ML,,
2019,HUILE SESAME NOIRE GRIL. 640ML,,
2022,WASABI POUDRE 1KG,,
2023,FARINE DE RIZ 400 G,,
2027,PATE TAMARIN 227 GR,,
2028,GALETTE DE RIZ 32 CM 1KG,,
2029,SAUCE SOJA SALEE KIKKOMAN 150ML,,
2030,SAUCE SOJA SUCREE KIKKOMAN 250ML,,
2032,OIGNON FRIT 1KG,,
2033,SAUCE SOJA SUCREE KIKKOMAN 975ML,,
2036,NOUILLE SOBA EAGLOBE 300G,,
2037,SAUCE NUOC-M�M 200ML,,
2041,GRAINES SESAME WASABI 1KG,,
2060,AIRELLES AU NATUREL (110G NE) 290G,,
2069,GRIOTTES DENOYAUTEES AU SIROP (520G NE) 1KG,,
2071,CERISES NOIRES DENOYAUTEES AU SIROP (540G NE) 1KG,,
2072,SAUCE PIMENT SWEET& SOUR 900G,,
2074,SAUCE TERIYAKI 1,,
2075,SAKE DE RIZ 13,,
2079,SAUCE SOJA KIKKOMAN REDUITE EN SEL 250ML,,
2084,VERJUS DU PERIGORD 50CL,,
2090,CONFIT DE VIN DE SAUTERNE BIO 120G,,
2093,CAVIAR D'AUBERGINE AUX EPICES BIO 100G,,
2100,PECHES BLCHES ENT12 FRUITS 2L5,,
2202,GRIOTTINES ORIGINAL 15% SEAU 3L,,
2228,GRIOTTINES DECOR 25% PET 1L,,
2234,GRIOTTINES ORIGINAL 15% PET 1L,,
2236,GRIOTTINES TRAITEUR 12% PET 1L,,
2300,PATE MARRON DESCOURS 4/4 900G,,
2301,CREME MARRON DESCOUR POCHE 1KG,,
2302,CREME DE CHATAIGNE D'ARDECHE AOP BIO 325G,,
2303,BRISURES EXTRA DE MARRON PRECUITES 1KG,,
2306,CHATAIGNES D'ARDECHE ENTIERES AOP 420G,,
2307,CHATAIGNES ENTIERES CUITES SACHET 500G,,
2312,MARRONS ENTIERS CUITS SOUS VIDE PONTHIER 400G,,
2315,MARRONS ENTIERS AU NATUREL 72CL 430G,,
2317,PUREE DE MARRON SANS SUCRE AJOUTE 400G,,
2318,FARINE DE CHATAIGNE POT 450G,,
2321,CREME MARRONS FAUGIER 4/4 992G,,
2325,PATE MARRONS CONFIT EXTRA FAUGIER 4/4 1 KG,,
2326,FARINE DE CHATAIGNE 1KG,,
2327,PUREE DE MARRONS FAUGIER 4/4 879G,,
2350,PUREE D'ABRICOT PONTHIER 1KG,,
2351,PUREE D'ANANAS PONTHIER 1KG,,
2352,PUREE DE BANANE PONTHIER 1KG,,
2353,PUREE DE CASSIS PONTHIER 1KG,,
2354,PUREE DE CITRON JAUNE 100% PONTHIER 1KG,,
2355,PUREE DE CITRON VERT 100% PONTHIER 1KG,,
2356,PUREE DE NOIX DE COCO INTENSE PONTHIER 1KG,,
2358,PUREE DE COROSSOL PONTHIER 1KG,,
2359,PUREE DE FRAISE PONTHIER 1KG,,
2360,PUREE DE FRAMBOISE PONTHIER 1KG,,
2361,PUREE DE POIVRON ROUGE 100% PONTHIER 1KG,,
2362,PUREE DE GRENADE PONTHIER 1KG,,
2363,PUREE DE GRIOTTE PONTHIER 1KG,,
2364,PUREE DE GROSEILLE PONTHIER 1KG,,
2365,PUREE DE LITCHI PONTHIER 1KG,,
2366,PUREE DE MANDARINE 100% PONTHIER 1KG,,
2367,PUREE DE MANGUE ALPHONSO PONTHIER 1KG,,
2368,PUREE DE FRUITS ROUGES PONTHIER 1KG,,
2369,PUREE DE MURE PONTHIER 1KG,,
2370,PUREE DE MYRTILLE PONTHIER 1KG,,
2371,PUREE D'ORANGE SANGUINE 100% PONTHIER 1KG,,
2372,PUREE DE PASSION PONTHIER 1KG,,
2373,PUREE DE PECHE BLANCHE PONTHIER 1KG,,
2374,PUREE DE POIRE PONTHIER 1KG,,
2375,PUREE DE POMME VERTE PONTHIER 1KG,,
2376,PUREE DE PAMPLEMOUSSE 100% PONTHIER 1KG,,
2390,COULIS DE FRUITS EXOTIQUES PONTHIER 1KG,,
2391,COULIS DE FRAISE PONTHIER 1KG,,
2392,COULIS DE FRAMBOISE PONTHIER 1KG,,
2393,COULIS DE FRUITS ROUGES PONTHIER 1KG,,
